seed,school_common_name,site,year,id,school_full_name,team,city,state,type,conference,address,lat,lng,geometry,distance
,,"Atlanta, GA",,1987526,,,,,,,"Atlanta, GA",-84.39018490000001,33.749098700000005,POINT (33.7490987 -84.39018490000001),112.15839023925393
,,"Salt Lake City, UT",,1987527,,,,,,,"Salt Lake City, UT",-111.88679750000001,40.759619799999996,POINT (40.7596198 -111.8867975),582.2610231304475
,,"Greensboro, NC",,1986528,,,,,,,"Greensboro, NC",-79.79197540000001,36.0726355,POINT (36.0726355 -79.79197540000001),52.879952950645645
,,"Dayton, OH",,1986529,,,,,,,"Dayton, OH",-84.1916069,39.758947799999994,POINT (39.75894779999999 -84.1916069),688.944254256342
,,"Charlotte, NC",,1986530,,,,,,,"Charlotte, NC",-80.8431268,35.2270869,POINT (35.2270869 -80.84312679999999),286.48376511349585
,,"Long Beach, CA",,1986531,,,,,,,"Long Beach, CA",-53.8155345,47.9960267,POINT (47.9960267 -53.8155345),1332.6993634091086
,,"Syracuse, NY",,1986532,,,,,,,"Syracuse, NY",-76.1474244,43.0481221,POINT (43.0481221 -76.14742440000001),1.0685466945199706
,,"Minneapolis, MN",,1986533,,,,,,,"Minneapolis, MN",-93.2654692,44.9772995,POINT (44.9772995 -93.2654692),616.8414108738099
,,"Baton Rouge, LA",,1986534,,,,,,,"Baton Rouge, LA",-91.18738,30.445959600000002,POINT (30.4459596 -91.18738),469.9394721898469
,,"Ogden, UT",,1986535,,,,,,,"Ogden, UT",-111.9738429,41.2230048,POINT (41.2230048 -111.9738429),1640.0491871392126
,,"Syracuse, NY",,1986536,,,,,,,"Syracuse, NY",-76.1474244,43.0481221,POINT (43.0481221 -76.14742440000001),687.8513187513048
,,"Minneapolis, MN",,1986537,,,,,,,"Minneapolis, MN",-93.2654692,44.9772995,POINT (44.9772995 -93.2654692),481.7879143468863
,,"Baton Rouge, LA",,1986538,,,,,,,"Baton Rouge, LA",-91.18738,30.445959600000002,POINT (30.4459596 -91.18738),300.6411988898921
,,"Ogden, UT",,1986539,,,,,,,"Ogden, UT",-111.9738429,41.2230048,POINT (41.2230048 -111.9738429),2072.888978094457
,,"Greensboro, NC",,1986540,,,,,,,"Greensboro, NC",-79.79197540000001,36.0726355,POINT (36.0726355 -79.79197540000001),1098.5385783663812
,,"Dayton, OH",,1986541,,,,,,,"Dayton, OH",-84.1916069,39.758947799999994,POINT (39.75894779999999 -84.1916069),445.46967807826894
,,"Charlotte, NC",,1986542,,,,,,,"Charlotte, NC",-80.8431268,35.2270869,POINT (35.2270869 -80.84312679999999),549.9092577853012
,,"Long Beach, CA",,1986543,,,,,,,"Long Beach, CA",-53.8155345,47.9960267,POINT (47.9960267 -53.8155345),3882.4159052358573
,,"Hartford, CT",,1985544,,,,,,,"Hartford, CT",-72.6908547,41.764582,POINT (41.764582 -72.6908547),325.1585337512329
